index	*ID	version	disabled	spawnable	disableChronicle	DropConditionCalc	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Hellmouth	236	100		1					1		36	30	xhg	War Gauntlets		5	5000								dmg-fire		30	72	abs-fire		15	20	ac%		150	220	dur		15	15	hit-skill	Flame Wave	2	4	hit-skill	244	4	12	swing2		10	30	ease		33	33																		0
Infernostride	237	100		1					1		24	18	xlb	Demonhide Boots		5	5000								oskill	Blaze	5	15	move2		10	10	res-fire-max		10	10	res-fire		15	30	light		2	3	ac%		120	150	gold%		40	70	ac		30	45	gethit-skill	Flame Wave	5	8	BootsStam2		1	1	ease		33	33						0
Waterwalk	238	100		1					1		26	20	xvb	Sharkskin Boots		5	5000								ac-miss		100	150	move2		10	10	dex		15	25	ac%		180	210	hp		45	80	stam		20	20	res-fire-max		10	10	regen-stam		30	30	BootsStam2		1	1	ease		33	33										0
Silkweave	239	100		1					1		28	23	xmb	Mesh Boots		5	5000								ac%		150	190	mana-kill		5	8	ac-miss		200	200	mana%		10	15	move2		20	20	BootsStam2		1	1	ease		33	33																						0
Wartraveler	240	100		1					1		32	27	xtb	Battle Boots		5	5000								vit		10	30	str		10	15	mag%		25	50	dur		30	30	move2		15	15	ac%		150	190	red-dmg		15	25	thorns		5	15	BootsStam2		1	1	ease		33	33										0
Gorerider	241	100		1					1		36	30	xhb	War Boots		5	5000	dred							ease		33	33	deadly		5	15	move2		10	10	crush		5	15	openwounds		5	10	ac%		160	200	dur		10	10	stam		20	20	BootsStam2		1	1	ease		33	33										0
String of Ears	242	100		1					1		24	18	zlb	Demonhide Sash		5	5000	lred							red-mag		10	15	red-dmg%		10	15	lifesteal		6	12	ac%		150	250	ac		30	45	dur		10	10	balance2		16	32	ease		33	33																		0
Razortail	243	100		1					1		25	20	zvb	Sharkskin Belt		5	5000								thorns/lvl	8			dex		15	30	pierce		33	66	ac		15	50	ac%		120	175	dmg-max		10	30	balance2		16	32	ease		33	33																		0
Gloomstrap	244	100		1					1		29	23	zmb	Mesh Belt		5	5000								light		-3	3	mana%		15	25	mana-kill		5	12	ac%		120	150	vit		15	25	regen-mana		15	50	balance2		16	32	ease		33	33																		0
Snowclash	245	100		1					1		32	27	ztb	Battle Belt		5	5000								gethit-skill	Frost Nova	5	0	abs-cold		15	25	res-cold-max		15	15	pierce-cold		10	20	ac%		130	170	skill	Blizzard	2	2	skill	Glacial Spike	3	3	skill	Frozen Orb	2	2	balance2		16	32	ease		33	33										0
Thudergod's Vigor	246	100		1					1		36	30	zhb	War Belt		5	5000								gethit-skill	Static Field	5	10	dmg-ltng		21	75	res-ltng-max		10	10	abs-ltng		10	30	ac%		160	200	vit		20	25	str		20	20	skill	Lightning Bolt	3	3	skill	Lightning Fury	3	3	balance2		16	32	ease		33	33						0
Elite Uniques																																																																										0
Harlequin Crest	248	100		1					1		69	62	uap	Shako		3	5000	cgrn	cgrn						allskills		2	2	hp/lvl	12			mana/lvl	12			mag%		25	60	red-dmg%		5	15	all-stats		2	10	ac-miss		150	200	ease		10	10																		0
Veil of Steel	249	100		1					1		77	73	uhm	Spired Helm		3	5000	lgry	lgry						res-all		50	50	ac%		85	150	str		15	15	vit		15	15	light		6	6	dur		20	20	ac		100	185	ac-miss		150	200	ease		-20	20														0
The Gladiator's Bane	250	100		1					1		85	85	utu	Wire Fleece		3	5000	lgry	lgry						ac%		150	200	red-mag		15	30	red-dmg		15	30	thorns		20	45	res-pois-len		25	50	dur		103	103	balance2		48	48	ac		50	50	nofreeze		1	1	ease		0	20										0
Arkaine's Valor	251	100		1					1		85	85	upl	Balrog Skin		3	5000	lred	lred						ac%		150	180	balance2		24	48	allskills		1	2	red-dmg		10	35	vit/lvl	4			red-dmg%		6	10	ease		-20	20	sock		0	3																		0
Blackoak Shield	252	100		1					1		67	61	uml	Luna		3	5000				invsmlu				dex/lvl	6			ac%		160	200	abs-cold/lvl	5			gethit-skill	Cloak of Shadows	4	5	dur		45	45	hp/lvl	10			block2		50	50	nofreeze		1	1	ac-hth		150	200	ease		0	20										0
Stormshield	253	100		1					1		77	73	uit	Monarch		3	5000				invkitu				ac/lvl	30			red-dmg%		35	35	str		30	30	indestruct		1	1	block2		35	35	res-ltng		25	25	block		25	25	res-cold		25	60	light-thorns		10	45	ac-hth		150	200	ease		-10	20						0
Hellslayer	254	100		1					1		71	66	7bt	Decapitator		5	5000	dred	dred		invbtxu				str/lvl	4			vit/lvl	6			dmg%/lvl	24			dmg-fire		150	250	hp		25	100	dmg%		100	150	att-skill	Flame Wave	10	0	ease		-10	20																		0
Messerschmidt's Reaver	255	100		1					1		75	70	7ga	Champion Axe		5	5000	blac	blac		invgaxu				dmg%/lvl	20			dmg%		200	200	all-stats		5	30	fire-min		20	100	fire-max		200	350	dur		25	25	att%		100	100	ease		-20	20																		0
Baranar's Star	256	100		1					1		70	65	7mt	Devil Star		5	5000	lred	lred		invmstu				att%		200	200	dmg%		200	200	dex		15	30	str		15	30	swing2		50	50	dur		100	100	dmg-ltng		101	200	dmg-fire		101	200	dmg-cold	250	101	200	crush		5	10	ease		-20	20						0		
Schaefer's Hammer	257	100		1					1		83	79	7wh	Legendary Mallet		5	5000	lblu	lblu						hit-skill	Static Field	20	10	hp		50	120	att/lvl	16			res-ltng		25	50	swing2		20	30	dmg/lvl	16			indestruct		1	1	dmg%		100	190	light		6	6	dmg-ltng		75	200	ease		-10	20						0
The Cranium Basher	258	100		1					1		85	87	7gm	Thunder Maul		5	5000	blac	blac						swing2		20	20	indestruct		1	1	str		25	25	res-all		25	25	crush		75	75	dmg-norm		25	50	dmg%		200	240	hit-skill	Amplify Damage	4	1	ease		-20	20														0
Lightsabre	259	100		1					5		66	58	7cr	Phase Blade		5	5000	lblu			invcrsu				light		7	7	att-skill	Chain Lightning	5	0	ignore-ac	1	1	1	abs-ltng%		25	25	swing2		20	40	dmg-mag		90	120	dmg-ltng		60	200	manasteal		5	7	dmg%		150	200	dmg-norm		20	60	ease		-20	20						0
Doombringer	260	100		1					1		75	69	7b7	Champion Sword		5	5000	dred	dred		invbswu				hp%		15	30	dmg%		180	250	att%		40	80	indestruct		1	1	dmg-norm		30	100	hit-skill	Weaken	8	20	lifesteal		5	7	deadly		5	10	ease		-20	20														0
The Grandfather	261	100		1					1		85	81	7gd	Colossus Blade		5	5000	lyel	lyel		invgsdu				all-stats		20	20	att%		50	75	hp		80	160	dmg/lvl	20			indestruct		1	1	dmg%		150	250	deadly		5	10	ease		-10	20																		0
Wizardspike	262	100		1					1		69	61	7dg	Bone Knife		5	5000	lgry	lgry						mana/lvl	16			regen-mana		15	50	mana%		15	15	res-all		50	75	indestruct		1	1	cast3		50	50	hp%		10	15	ease		-20	20																		0
Constricting Ring	263	100		1					1		95	95	rin	Ring		5	5000	cblu	cblu						res-all		20	50	regen		-20	-10	mag%		25	50	res-all-max		-10	-10	mana-kill		5	10																														0
Stormspire	264	100		1					1		78	70	7wc	Giant Thresher		5	5000	dblu	dblu						abs-ltng%		30	30	gethit-skill	Nova	5	22	dmg%		150	250	str		10	30	gethit-skill	Static Field	2	0	swing2		30	30	indestruct		1	1	dmg-ltng		101	237	light-thorns		30	30	slow		20	30	ease		-20	20						0
Eaglehorn	265	100		1					1		77	69	6l7	Crusader Bow		5	5000	dgld	dgld						ignore-ac		1	1	att/lvl	12			dmg%/lvl	16			dmg%		200	250	ama		1	3	dex		25	45	pierce		15	30	ease		-20	20																		0
Windforce	266	100		1					1		80	73	6lw	Hydra Bow		5	5000	dyel	dyel						dex		25	40	dmg/lvl	25			regen-stam		30	60	manasteal		8	12	knock		1	1	dmg%		250	250	swing2		20	40	hit-skill	Twister	10	18	pierce		15	30	ease		-20	20										0
Rings																																																																										0
Bul Katho's Wedding Band	268	100		1					1		43	38	rin	Ring		5	5000	dpur	dpur						hp/lvl	4			allskills		1	1	lifesteal		3	5	stam		50	50	SingleRes2		1	1																														0
The Cat's Eye	269	100		1					5		38	32	amu	Amulet		5	5000	oran	oran						move2		30	30	swing2		20	20	ac		100	100	ac-miss		100	100	dex		25	25	ResBalanceSocket		1	1																										0
The Rising Sun	270	100		1					5		48	42	amu	Amulet		5	5000	lgld	lgld						abs-fire/lvl	6			light		4	4	gethit-skill	56	2	0	dmg-fire		60	110	fireskill		2	2	regen		10	10	ResBalanceSocket		1	1																						0
Crescent Moon	271	100		1					5		38	32	amu	Amulet		5	5000	lblu	lblu						manasteal		11	15	red-mag		10	10	dmg-to-mana		10	10	light		-2	-2	mana		45	45	lifesteal		3	6	ResBalanceSocket		1	1																						0
Mara's Kaleidoscope	272	100		1					5		52	44	amu	Amulet		5	5000	oran	oran						allskills		2	2	res-all		20	30	all-stats		5	5	ResBalanceSocket		1	1																																		0
Atma's Scarab	273	100		1					5		39	39	amu	Amulet		5	5000	cgrn	cgrn						dmg-pois	100	102	102	res-pois-len		75	75	light		3	3	thorns		5	5	hit-skill	66	5	2	att%		20	20	ResBalanceSocket		1	1																						0
Dwarf Star	274	100		1					10		34	29	rin	Ring		5	5000	dgry	dgry						gold%		100	100	stam		40	40	regen-stam		15	15	hp		40	60	red-mag		12	15	abs-fire%		15	15	SingleRes2		1	1																						0
Raven Frost	275	100		1					10		34	29	rin	Ring		5	5000	cblu	cblu						nofreeze		1	1	dmg-cold	100	15	45	abs-cold%		20	20	mana		40	40	dex		15	20	att		150	250	SingleRes2		1	1																						0
Highlord's Wrath	276	100		1					5		48	42	amu	Amulet		5	5000	bwht	bwht						abs-ltng		10	15	dmg-ltng		31	65	swing2		20	20	allskills		1	1	deadly/lvl		3	6	light-thorns		15	30	ResBalanceSocket		1	1																						0
Saracen's Chance	277	100		1					5		36	30	amu	Amulet		5	5000	dpur	dpur						res-all		15	25	gethit-skill	76	10	8	all-stats		12	12	ResBalanceSocket		1	1																																		0
Class Specific																																																																										0
Arreat's Face	279	100		1					1		32	27	baa	Slayer Guard		5	5000								bar		2	2	skilltab	12	2	2	ac%		150	200	balance2		36	48	att%		20	40	str		20	20	dex		20	20	lifesteal		3	8	res-all		30	30	ease		33	33										0
Homunculus	280	100		1					1		32	27	nea	Heirophant Trophy		5	5000								nec		2	2	skilltab	6	2	2	ac%		150	200	block2		30	30	block		40	40	enr		20	20	regen-mana		33	66	mana-kill		7	9	res-all		40	40	cast2		10	30	ease		33	33						0
Titan's Revenge	281	100		1					1		32	27	ama	Ceremonial Javelin		5	5000								ama		2	2	skilltab	2	2	2	dmg%		150	200	move2		30	30	rep-quant	99			str		20	20	dex		20	20	lifesteal		5	9	dmg-norm		80	110	stack		120	120	ease		33	33						0
Lycander's Aim	282	100		1					1		32	27	am7	Ceremonial Bow		5	5000								ama		2	2	skilltab	0	2	2	dmg%		150	200	swing2		20	40	ac%		20	100	dex		20	50	enr		20	50	manasteal		10	15	dmg-norm		50	80	pierce		33	33	ease		33	33						0
Lycander's Flank	283	100		1					1		32	27	am9	Ceremonial Pike		5	5000								ama		2	2	skilltab	2	2	2	dmg%		150	250	swing2		30	50	ac%		20	100	str		20	30	vit		20	50	lifesteal		5	9	dmg-norm		30	60	openwounds		25	50	ease		33	33						0
The Oculus	284	100		1					1		32	27	oba	Swirling Crystal		5	5000								sor		2	3	gethit-skill	Cyclone Armor	10	10	res-all		20	20	cast2		30	30	ac%		20	60	vit		20	30	enr		20	30	mana-kill		5	12	mag%		30	50	ease		33	33										0
Herald of Zakarum	285	100		1					1		32	27	pa9	Aerin Shield		5	5000								pal		2	2	skilltab	9	1	2	ac%		150	200	block2		30	30	block		30	30	str		20	30	vit		20	30	att%		20	60	res-all		30	50	ac-hth		100	150	ease		33	33						0
Cutthroat1	286	100		1					1		32	27	9tw	Greater CLaws		5	5000								ass		2	2	skilltab	20	1	2	dmg%		150	200	balance2		24	48	att%		20	60	str		20	30	dex		20	30	lifesteal		8	12	dmg-norm		30	60	ease		33	33										0
Jalal's Mane	287	100		1					1			27	dra	Totemic Mask		5	5000								dru		2	2	skilltab	16	2	2	ac%		150	200	balance2		24	48	att%		20	30	str		20	30	enr		20	30	mana-kill		5	12	res-all		30	30	ac-miss		100	150	ease		33	33						0
The Scalper	288	100		1					1		65	57	9ta	Francisca		5	5000								rep-quant	99			dmg%		150	200	att%		25	50	swing2		20	40	openwounds		33	33	lifesteal		4	9	mana-kill		4	9	stack		120	120	ease		33	33														0
Bloodmoon	289	100		1					1		69	61	7sb	elegant blade		5	5000	cred	cred		invsbru				dmg%		210	260	lifesteal		10	15	oskill	BloodGolem	9	15	heal-kill		7	13	openwounds		50	50	bloody		6	6	ease		-20	20																						0
Djinnslayer	290	100		1					1		73	65	7sm	ataghan		5	5000	dpur	dpur		invscmu				dmg%		190	240	dmg-fire		250	500	dmg-demon		100	200	att-demon		200	300	abs-ltng		3	15	manasteal		9	16	sock		1	3	ease		-20	20																		0
Deathbit	291	100		1					1		52	44	9tk	battle dart		5	5000								deadly		40	40	dmg%		130	180	att		200	450	lifesteal		7	9	manasteal		4	6	rep-quant	99			pierce		100	100	stack		120	120	ease		33	33														0
Warshrike	292	100		1					1		83	75	7bk	winged knife		5	5000	bwht	bwht		invtk3				dmg%		200	250	pierce		50	50	swing2		30	30	deadly		50	50	rep-quant	99			hit-skill	Nova	25	9	stack		120	120	ease		-20	20																		0
Gutsiphon	293	100		1					1		79	71	6rx	demon crossbow		5	5000	lgrn	lgrn		invrxbu				dmg%		160	220	pierce		33	33	lifesteal		12	18	slow		25	25	openwounds		33	33	stupidity		3	3	knock		1	1	ease		-20	20																		0
Razoredge	294	100		1					1		75	67	7ha	tomahawk		5	5000	lblu			invhaxu				dmg%		175	225	swing2		40	40	reduce-ac		33	66	deadly		50	50	openwounds		50	50	ease		-20	20																										0
Gore Ripper	295	100			1				1							5	5000	dred	dred																																																							0
Demonlimb	296	100		1					1		71	63	7sp	tyrant club		5	5000	dgrn	dgrn		invspcu				dmg%		180	230	dmg-fire		222	333	lifesteal		7	13	charged	Enchant	20	23	rep-dur	10			dmg-demon		150	150	res-fire		-15	20	crush		10	15	ease		-20	20														0
Steelshade	297	100		1					1		70	62	ulm	armet		5	5000	blac	blac		invhlmu				ac%		100	130	abs-fire		5	30	manasteal		12	18	regen		10	18	balance2		16	32	ac-miss		150	200	ease		-20	20																						0
Tomb Reaver	298	100		1					1		86	84	7pa	cryptic axe		5	5000	lyel	lyel						swing2		60	60	light		4	4	dmg%		200	280	dmg-undead		150	230	mag%		50	80	res-all		30	50	att-undead		250	350	reanimate	1	10	10	heal-kill		10	14	sock		1	3	slow		20	30	ease		-20	20		0
Deaths's Web	299	100		1					1		74	66	7gw	unearthed wand		5	5000	bwht	bwht						allskills		2	2	pierce-pois		40	50	heal-kill		7	15	mana-kill		7	15	skilltab	7	1	3	cast2		0	30	hp%		0	20	ease		-20	20																		0
Nature's Peace	300	100		1					3		77	69	rin	ring		5	5000	dgrn	dgrn						noheal		1	1	rip		1	1	red-dmg		12	20	res-pois		20	30	charged	Oak Sage	27	15	SingleRes3		1	1																										0
Azurewrath	301	100		1					1		87	85	7cr	phase blade		5	5000	lgry			invcrs				dmg-mag		250	500	dmg%		230	270	aura	Sanctuary	10	16	dmg-cold	250	250	500	swing2		20	50	all-stats		5	10	light		3	3	allskills		1	2	ease		-20	20														0
Seraph's Hymn	302	100		1					3		73	65	amu	amulet		5	5000	bwht	bwht		invamu2				allskills		2	2	skilltab	11	1	2	dmg-demon		25	100	dmg-undead		25	100	att-demon		150	250	att-undead		150	250	light		2	6	ResBalanceSocket		1	1																		0
Zakarum's Salvation	303	100			1				1							5	5000																																																									0
Fleshripper	304	100		1					1		76	68	7kr	fanged knife		5	5000	dred	dred		invkrsu				dmg%		200	300	reduce-ac		50	90	noheal		1	1	deadly		33	33	openwounds		50	50	dmg-norm		50	75	slow		20	20	ease		-20	20																		0
Odium	305	100			1				1							5	5000	blac																																																								0
Horizon's Tornado	306	100		1					5		72	64	7fl	scourge		5	5000	dpur	dpur						dmg%		230	280	swing2		50	50	slow		20	20	hit-skill	Tornado	20	15	ease		-20	20	dmg-cold	250	60	220	oskill	Hurricane	3	8																						0
Stone Crusher	307	100		1					4		76	68	7wh	legendary mallet		5	5000	whit							dmg%		280	320	str		20	30	crush		40	40	reduce-ac		25	25	dmg-ac		-100	-100	dmg		10	30	slow		20	50	ease		-20	20																		0
Jadetalon	308	100		1					1		74	66	7wb	wrist sword		5	5000	cgrn	cgrn						dmg%		220	270	manasteal		10	15	res-all		30	50	balance2		24	48	skilltab	19	2	2	skilltab	20	2	2	ease		-20	20																						0
Shadowdancer	309	100		1					1		79	71	uhb	myrmidon greaves		5	5000	blac	blac						ac%		100	190	move2		20	20	balance2		24	48	dex		15	25	skilltab	19	1	3	ease		-20	20	BootsStam3																									0
Cerebus	310	100		1					1		71	63	drb	blood spirit		5	5000	bwht	bwht						ac%		130	140	skilltab	16	3	5	lifesteal		7	10	att%		60	120	openwounds		33	33	oskill	Feral Rage	1	2	oskill	Wearwolf	1	3	oskill	Shape Shifting	1	3	ac-miss		150	200	ease		-20	20										0
Tyrael's Might	311	100		1					1		87	84	uar	sacred armor		5	5000	dblu	dblu		invaaru				ease		-100	-100	indestruct		1	1	ac%		120	150	rip		1	1	dmg-demon		150	300	nofreeze		1	1	move2		20	20	res-all		20	30	str		20	30	red-dmg%		10	30	aura	Sanctuary	12	20						0
Souldrain	312	100		1					1		82	74	umg	vambraces		5	5000	dred	dred						ac%		90	120	manasteal		4	15	lifesteal		4	15	hit-skill	Weaken	8	21	dmg-ac		-100	-50																														0
Runemaster	313	100		1					1		80	72	72a	ettin axe		5	5000	lblu	lblu						dmg%		220	270	sock		4	6	res-cold-max		5	5	nofreeze		1	1	dmg-ac		-100	-75	deadly/lvl	3			ease		-20	20																						0
Deathcleaver	314	100		1					1		78	70	7wa	berserker axe		5	5000	dred							dmg%		230	280	deadly		66	66	reduce-ac		33	50	swing2		40	40	heal-kill		6	10	ease		-20	20																										0
Executioner's Justice	315	100		1					1		83	75	7gi	glorious axe		5	5000	blac	blac						dmg%		240	300	crush		25	25	reduce-ac		33	33	kill-skill	Decrepify	50	9	swing2		30	30																														0
Stoneraven	316	100		1					1		72	64	amd	matriarchal spear		5	5000	dgry							dmg%		230	325	dmg-mag		101	187	res-all		30	50	ac		400	600	skilltab	2	3	5	openwounds		25	50	ease		-20	20																						0
Leviathan	317	100		1					1		73	65	uld	kraken shell		5	5000	cgrn	cgrn						ac%		170	250	ac		100	150	red-dmg%		20	35	str		40	65	indestruct		1	1	ease		-20	20																										0
Larzuk's Champion	318	100			1				1							5	5000	lgry		flphmr	invhfh																																																					0
Wisp	319	100		1					1		84	76	rin	ring		5	5000	bwht	bwht						abs-ltng%		10	20	hit-skill	Lightning	10	16	mag%		10	20	charged	Oak Sage	15	20	charged	Heart of Wolverine	15	20	charged	Spirit of Barbs	15	20	SingleRes3		1	1																						0
Gargoyle's Bite	320	100		1					1		78	70	7ts	winged harpoon		5	5000	cgrn	cgrn						dmg%		180	230	rep-quant	99			dmg-pois	125	300	300	lifesteal		9	20	oskill	Plague Javelin	3	9	stack		120	120	ease		-20	20	pierce		33	33																		0
Lacerator	321	100		1					1		76	68	7b8	winged axe		5	5000	blac	blac						dmg%		150	230	rep-quant	99			swing2		30	30	noheal		1	1	openwounds		33	33	howl		64	64	hit-skill	Amplify Damage	33	9	pierce		33	33	ease		-20	20														0
Mang Song's Lesson	322	100		1					1		86	82	6ws	archon staff		5	5000	dgld	dgld		inv8wsu				allskills		5	5	pierce-fire		7	15	pierce-ltng		7	15	pierce-cold		7	15	regen-mana		10	60	cast2		30	50	ease		-20	20																						0
Viperfork	323	100		1					1		79	71	7br	war fork		5	5000	dgrn	dgrn						dmg%		190	240	dmg-pois	250	333	333	swing2		50	50	att		200	250	hit-skill	Poison Explosion	15	22	res-pois		30	50	openwounds		25	50	ease		-20	20																		0
Ethereal Edge	324	100		1					1		82	74	7ba	silver-edged axe		5	5000	whit	whit						dmg%		150	220	swing2		25	50	abs-fire		10	25	dmg-demon		150	200	demon-heal		5	25	att		270	350	ethereal		1	1	indestruct		1	1	ease		-20	20														0
Demonhorn's Edge	325	100		1					1		69	61	bad	destroyer helm		5	5000	dgry	dgry						ac%		120	160	swing2		10	20	lifesteal		3	9	thorns		55	77	skilltab	12	2	3	skilltab	13	2	3	skilltab	14	2	3	ac-miss		150	200	ease		-20	20														0
The Reaper's Toll	326	100		1					1		83	75	7s8	thresher		5	5000				invscy				dmg%		190	240	hit-skill	Decrepify	33	9	ignore-ac		1	1	lifesteal		11	15	ease		-25	10	deadly		33	33	dmg-cold	300	40	120	slow		20	30																		0
Spiritkeeper	327	100		1					1		75	67	drd	earth spirit		5	5000								ac%		170	190	balance2		48	48	abs-ltng		9	20	res-fire		30	40	abs-cold%		15	30	res-pois-max		10	50	dru		1	3	ac-miss		150	200	ease		-20	20														0
Hellrack	328	100		1					1		84	76	6hx	colossus crossbow		5	5000	cred			invhxbu				dmg%		180	250	dmg-elem	33	63	324	swing2		20	20	att%		100	150	sock		2	3	oskill	Immolation Arrow	12	18	knock		1	1	ease		-20	20																		0
Alma Negra	329	100		1					1		85	77	pac	sacred rondache		5	5000	blac	blac						ac%		180	210	block2		30	30	pal		2	3	block		20	20	red-mag		9	15	att%		40	75	dmg%		40	100	aura	Defiance	8	12	ac-hth		150	200	ease		-20	20										0
Darkforge Spawn	330	100		1					1		72	64	nef	bloodlord skull		5	5000	cred	cred						ac%		140	200	cast2		30	50	mana%		10	60	skilltab	6	2	4	skilltab	7	2	4	skilltab	8	2	4	ac-hth		150	200	ease		-20	20																		0
Widowmaker	331	100		1					1		73	65	6sw	ward bow		5	5000	dred	dred		invswbu				dmg%		150	250	deadly		15	33	ignore-ac		1	1	skill	Magic Arrow	5	10	skill	Guided Arrow	3	8	pierce		20	30	ease		-20	20																						0
Bloodraven's Charge	332	100		1					1		79	71	amb	matriarchal bow		5	5000	dgld	dgld		invswbu				dmg%		180	230	att%		200	300	skill	Exploding Arrow	6	10	skilltab	0	1	3	oskill	Revive	10	15	ease		-20	20																										0
Ghostflame	333	100		1					1		70	62	7bl	legend spike		5	5000	cblu	cblu						dmg%		190	240	ignore-ac		1	1	dmg-mag		108	108	mana-kill		10	25	ethereal		1	1	indestruct		1	1	light		2	2	ease		-20	20																		0
Shadowkiller	334	100		1					1		85	78	7cs	battle cestus		5	5000				invaxfu				dmg%		170	220	reduce-ac		33	33	freeze		3	3	mana-kill		10	15	hit-skill	Frost Nova	33	14	ethereal		1	1	indestruct		1	1	ease		-20	20																		0
Gimmershred	335	100		1					1		78	70	7ta	flying axe		5	5000	lgrn							dmg%		210	300	dmg-fire		218	483	dmg-cold	100	176	397	dmg-ltng		29	501	stack		120	120	swing2		30	50	ease		-20	20																						0
Griffon's Eye	336	100		1					1		84	76	ci3	diadem		5	5000								ac		100	200	cast2		25	25	allskills		1	1	extra-ltng		10	25	pierce-ltng		15	30	regen-mana		30	60	ease		-20	20																						0
Windhammer	337	100		1					1		76	68	7m7	ogre maul		5	5000	cblu	cblu		invmau				dmg%		180	270	crush		25	50	swing2		60	60	hit-skill	Twister	33	22	kill-skill	Hurricane	2	15	ease		-20	20																										0
Thunderstroke	338	100		1					1		77	69	amf	matriarchal javelin		5	5000	dblu	dblu						dmg%		150	250	dmg-ltng		101	511	att-skill	Charged Bolt	10	14	swing2		15	30	pierce-ltng		15	15	skill	Lightning Bolt	3	8	skilltab	2	2	4	stack		120	120	ease		-20	20														0
Giantmaimer	339	100			1				1							5	5000	cred	cred																																																							0
Demon's Arch	340	100		1					1		76	68	7s7	balrog spear		5	5000	cred	cred						dmg%		160	300	dmg-fire		232	323	lifesteal		12	20	rep-quant	99			swing2		30	50	dmg-ltng		223	333	stack		120	120	ease		-20	20																		0
Boneflame	341	100		1					1		80	72	nee	succubae skull		3	5000	dred	dred						ac%		120	300	move2		20	40	gethit-skill	Terror	15	20	nec		2	3	res-all		10	30	kill-skill	Apocalypse	3	8	ac-hth		150	200	ease		-20	20																		0
Steelpillar	342	100		1					1		77	69	7p7	war pike		3	5000								dmg%		210	350	swing2		25	60	reduce-ac		20	50	ac%		50	150	indestruct		1	1	crush		25	25	openwounds		25	50	ease		-20	20																		0
Nightwing's Veil	343	100		1					1		75	67	uhm	spired helm		3	5000	cblu	cblu						ac%		90	150	allskills		2	2	dex		10	30	abs-cold		5	15	half-freeze		1	1	extra-cold		8	20	ease		-50	-20	ac-miss		150	200																		0
Crown of Ages	344	100		1					1		86	82	urn	corona		3	5000	dgld	dgld						balance2		36	48	res-all		10	30	allskills		1	2	ac		100	210	indestruct		1	1	red-dmg%		10	20	ac%		50	150	sock		1	3	ease		-20	20	ac-miss		150	200										0
Andariel's Visage	345	100		1					1		85	83	usk	demonhead		3	5000	dred	dred						ac%		100	250	res-pois		20	50	allskills		1	2	res-pois-max		10	10	swing2		20	20	str		25	50	gethit-skill	Poison Nova	15	15	lifesteal		8	10	res-fire		-30	-10	ease		-20	20	ac-miss		150	200						0
Darkfear	346	100			1				1				ulm	armet		5	5000	blac			invhlmu																																																					0
Dragonscale	347	100		1					1		84	80	pae	zakarum shield		3	5000	dgrn	dgrn						ac%		170	200	abs-fire%		10	30	res-fire-max		5	10	str		15	40	dmg-fire		200	450	gethit-skill	Flame Wave	10	10	extra-fire		15	30	ac-hth		150	200	ease		-20	20														0
Steel Carapice	348	100		1					1		74	66	uul	shadow plate		3	5000	dgry	dgry						ac%		190	250	balance2		24	48	red-dmg		10	25	res-cold		40	60	regen-mana		30	45	rep-dur	15			gethit-skill	Iron Maiden	8	12	red-dmg%		10	15	ease		-20	20														0
Medusa's Gaze	349	100		1					1		84	76	uow	aegis		3	5000	lred	lred		invtowu				ac%		150	220	slow		20	20	gethit-skill	Lower Resist	10	12	lifesteal		5	15	kill-skill	Nova	30	15	res-cold		40	60	ac-hth		150	200	ease		-20	20																		0
Ravenlore	350	100		1					1		82	74	dre	sky spirit		3	5000	dgld	dgld						ac%		120	200	res-all		15	25	skilltab	17	3	6	enr		20	40	pierce-fire		10	50	skill	Raven	7	12	ac-miss		150	200	ease		-20	20																		0
Boneshade	351	100		1					1		84	79	7bw	lich wand		3	5000	dgry	dgry		invbwnu				nec		2	2	cast2		25	40	skill	Teeth	3	8	skill	Bone Armor	3	8	skill	Bone Spear	3	5	skill	Bone Spirit	2	4	skill	Bone Wall	3	5	mana%		10	33	ease		-20	20														0
Nethercrow	352	100			1				1							3	5000	cblu	cblu																																																							0
Flamebellow	353	100		1					1		79	71	7gs	balrog blade		3	5000	cred	cred		invgisu				dmg%		170	300	dmg-fire		233	482	fireskill		3	3	abs-fire%		20	30	hit-skill	Firestorm	12	16	str		10	30	vit		5	30	oskill	Flame Wave	8	12	ease		-20	20														0
Fathom	354	100		1					1		81	73	obf	dimensional shard		3	5000	lblu							sor		2	3	extra-cold		15	40	cast2		20	40	res-fire		20	30	res-ltng		20	30	sock		0	2	ease		-20	20																						0
Wolfhowl	355	100		1					1		85	79	bac	fury visor		3	5000	cred	cred						ac%		120	250	skilltab	14	2	4	all-stats		10	30	oskill	Wearwolf	5	12	oskill	Fury	3	8	oskill	Shape Shifting	10	15	oskill	Feral Rage	3	10	ac-miss		150	200	ease		-20	20														0
